mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
M,3D,AUDCAD,short,2020-12-01,2021-01-01,0.9791,0.99012,0.01102000000000003,2021-01-22,2021-01-27,0.98512,0.98584,2021-02-09,0.98496,0.9680799999999999,0.9962888590604027,2021-02-22,0.9962888590604027,loss,-1.0
M,3D,AUDCHF,long,2023-10-02,2023-11-01,0.56136,0.57688,0.015519999999999978,2023-11-08,2023-11-13,0.57251,0.57316,2023-12-28,0.57318,0.5923999999999999,0.559808,2024-03-20,0.5923999999999999,win,1.4373317379599035
M,3D,AUDCHF,short,2016-10-03,2016-11-01,0.752635,0.76647,0.01383499999999993,2016-11-24,2016-11-29,0.7597,0.75981,2016-12-07,0.75754,0.7388000000000001,0.7701171812080536,2016-12-20,0.7388000000000001,win,1.49
M,3D,AUDCHF,short,2020-06-01,2020-07-01,0.65395,0.67434,0.02039000000000002,2020-07-24,2020-07-29,0.65908,0.66032,2020-08-06,0.6546,0.63356,0.6763790000000001,2020-12-23,0.6763790000000001,loss,-1.0
M,3D,AUDJPY,long,2017-08-01,2017-09-01,85.454,87.385,1.9310000000000116,2017-09-06,2017-09-11,86.56,86.8505,2017-10-26,87.011,89.31600000000002,85.26089999999999,2017-11-16,85.26089999999999,loss,-1.0
M,3D,AUDJPY,long,2023-03-01,2023-04-03,86.062,88.794,2.7319999999999993,2023-04-04,2023-04-07,87.596,87.776,2025-04-03,88.54,91.526,85.7888,2025-04-21,91.526,win,1.0853445769118848
M,3D,AUDJPY,long,2023-08-01,2023-09-01,92.792,94.364,1.5720000000000027,2023-09-01,2023-09-06,93.588,93.592,2023-10-02,94.318,95.936,92.6348,2023-10-31,95.936,win,0.9612642585551389
M,3D,AUDNZD,long,2015-07-01,2015-08-03,1.089805,1.10786,0.018055000000000154,2015-08-20,2015-08-25,1.092375,1.094635,2015-09-02,1.09947,1.1259150000000002,1.0817216778523489,2015-09-10,1.1259150000000002,win,1.49
M,3D,AUDNZD,long,2018-12-03,2019-01-01,1.00415,1.04972,0.04556999999999989,2019-01-25,2019-01-30,1.04507,1.04668,2019-02-04,1.04852,1.0952899999999999,0.9995930000000001,2020-03-17,0.9995930000000001,loss,-1.0
M,3D,AUDNZD,short,2024-07-01,2024-08-01,1.09938,1.1156,0.0162199999999999,2024-08-14,2024-08-19,1.10336,1.10576,2024-10-03,1.10323,1.0831600000000001,1.117222,2024-11-22,1.117222,loss,-1.0
M,3D,AUDUSD,long,2018-06-01,2018-07-02,0.73106,0.7407,0.009639999999999982,2018-07-25,2018-07-30,0.737,0.73858,2018-08-02,0.73869,0.75034,0.7300960000000001,2018-08-10,0.7300960000000001,loss,-1.0
M,3D,AUDUSD,short,2021-02-01,2021-03-01,0.77038,0.80072,0.030340000000000034,2021-03-15,2021-03-18,0.78104,0.78494,2021-04-16,0.77282,0.7400399999999999,0.803754,2021-07-14,0.7400399999999999,win,1.0596754380293532
M,3D,CADJPY,short,2020-06-01,2020-07-01,79.506,81.912,2.406000000000006,2020-07-21,2020-07-24,79.778,80.146,2020-08-03,79.6,77.1,82.1526,2021-01-14,82.1526,loss,-1.0
M,3D,CHFJPY,long,2015-03-02,2015-04-01,119.917,123.5355,3.6184999999999974,2015-04-08,2015-04-13,121.97,122.4235,2015-09-02,122.432,127.154,119.26287248322149,2015-11-25,119.26287248322149,loss,-1.0
M,3D,CHFJPY,long,2023-12-01,2024-01-01,162.174,167.606,5.431999999999988,2023-12-28,2024-01-01,166.798,167.229,2024-03-07,167.467,173.03799999999998,161.63080000000002,2024-04-26,173.03799999999998,win,0.9545594736300981
